province,city,lease_term,type,furnishing,availability_date,smoking
ontario,carleton place,,,,,
ontario,chatham,,,,,
ontario,clarington,,,,,
ontario,collingwood,,,,,
ontario,cornwall,,,,,
ontario,deep river,,,,,
ontario,east gwillimbury,,,,,
ontario,east york,,,,,
ontario,fergus,,,,,
ontario,fort erie,,,,,
ontario,georgina,,,,,
ontario,gloucester,,,,,
ontario,gravenhurst,,,,,
ontario,grimsby,,,,,
ontario,guelph,,,,,
ontario,hamilton,,,,,
ontario,hanover,,,,,
ontario,huntsville,,,,,
ontario,innisfil,,,,,
ontario,kanata,,,,,
ontario,kingston,,,,,
ontario,kitchener,,,,,
ontario,lasalle,,,,,
ontario,leamington,,,,,
ontario,lindsay,,,,,
ontario,listowel,,,,,
ontario,london,,,,,
ontario,lucan,,,,,
ontario,markham,,,,,
ontario,milton,,,,,
ontario,mississauga,,,,,
ontario,mount forest,,,,,
ontario,newmarket,,,,,
ontario,niagara falls,,,,,
ontario,niagara-on-the-lake,,,,,
ontario,north bay,,,,,
ontario,north york,,,,,
ontario,oakville,,,,,
ontario,orangeville,,,,,
ontario,orillia,,,,,
ontario,oshawa,,,,,
ontario,ottawa,,,,,
ontario,owen sound,,,,,
ontario,paris,,,,,
ontario,pelham,,,,,
ontario,penetanguishene,,,,,
ontario,peterborough,,,,,
ontario,pickering,,,,,
ontario,port colborne,,,,,
ontario,port elgin,,,,,
ontario,prince edward,,,,,
ontario,richmond hill,,,,,
ontario,ridgetown,,,,,
ontario,sarnia,,,,,
ontario,sault ste. marie,,,,,
ontario,scarborough,,,,,
ontario,st thomas,,,,,
ontario,st. catharines,,,,,
ontario,stoney creek,,,,,
ontario,stratford,,,,,
ontario,strathroy,,,,,
ontario,sudbury,,,,,
ontario,tecumseh,,,,,
ontario,thorold,,,,,
ontario,thunder bay,,,,,
ontario,tilbury,,,,,
ontario,tillsonburg,,,,,
ontario,timmins,,,,,
ontario,toronto,,,,,
ontario,trenton,,,,,
ontario,vanier,,,,,
ontario,vaughan,,,,,
ontario,waterloo,,,,,
ontario,welland,,,,,
ontario,whitby,,,,,
ontario,whitchurch-stouffville,,,,,
ontario,windsor,,,,,
ontario,woodstock,,,,,
ontario,wyoming,,,,,
quebec,boisbriand,,,,,
quebec,brossard,,,,,
quebec,candiac,,,,,
quebec,côte saint-luc,,,,,
quebec,dorval,,,,,
quebec,gatineau,,,,,
quebec,hampstead,,,,,
quebec,laval,,,,,
quebec,longueuil,,,,,
quebec,mascouche,,,,,
quebec,mont-saint-hilaire,,,,,
quebec,montréal,,,,,
quebec,pointe-claire,,,,,
quebec,quebec city,,,,,
quebec,repentigny,,,,,
quebec,saguenay,,,,,
quebec,saint-constant,,,,,
quebec,saint-hyacinthe,,,,,
quebec,saint-jérôme,,,,,
quebec,sherbrooke,,,,,
quebec,terrebonne,,,,,
quebec,varennes,,,,,
quebec,vaudreuil-dorion,,,,,
quebec,ville-marie,,,,,
quebec,westmount,,,,,
saskatchewan,assiniboia,,,,,
saskatchewan,christopher lake,,,,,
saskatchewan,lloydminster,,,,,
saskatchewan,moose jaw,,,,,
saskatchewan,outlook,,,,,
saskatchewan,pilot butte,,,,,
saskatchewan,prince albert,,,,,
saskatchewan,regina,,,,,
saskatchewan,saskatoon,,,,,
saskatchewan,swift current,,,,,
saskatchewan,warman,,,,,
saskatchewan,yorkton,,,,,
